air_temp,dhi,dni,ghi,wind_speed_10m,period_end,period
23,1,0,1,2.2,2025-12-10T01:00:00+00:00,PT60M
24,61,0,61,2.2,2025-12-10T02:00:00+00:00,PT60M
25,127,0,127,2.4,2025-12-10T03:00:00+00:00,PT60M
25,168,0,168,2.6,2025-12-10T04:00:00+00:00,PT60M
25,173,0,173,2.6,2025-12-10T05:00:00+00:00,PT60M
25,228,0,228,2.5,2025-12-10T06:00:00+00:00,PT60M
25,248,0,248,2.5,2025-12-10T07:00:00+00:00,PT60M
26,299,0,299,2.6,2025-12-10T08:00:00+00:00,PT60M
26,322,0,322,3.1,2025-12-10T09:00:00+00:00,PT60M
26,222,0,222,3.2,2025-12-10T10:00:00+00:00,PT60M
25,198,10,202,3.2,2025-12-10T11:00:00+00:00,PT60M
25,82,54,94,3.3,2025-12-10T12:00:00+00:00,PT60M
25,1,0,1,3,2025-12-10T13:00:00+00:00,PT60M
25,0,0,0,2.8,2025-12-10T14:00:00+00:00,PT60M
24,0,0,0,2.7,2025-12-10T15:00:00+00:00,PT60M
24,0,0,0,2.6,2025-12-10T16:00:00+00:00,PT60M
24,0,0,0,2.4,2025-12-10T17:00:00+00:00,PT60M
24,0,0,0,2.2,2025-12-10T18:00:00+00:00,PT60M
24,0,0,0,2.2,2025-12-10T19:00:00+00:00,PT60M
24,0,0,0,2.2,2025-12-10T20:00:00+00:00,PT60M
23,0,0,0,2.4,2025-12-10T21:00:00+00:00,PT60M
23,0,0,0,2.4,2025-12-10T22:00:00+00:00,PT60M
23,0,0,0,2.4,2025-12-10T23:00:00+00:00,PT60M
23,0,0,0,2.6,2025-12-11T00:00:00+00:00,PT60M
24,1,0,1,2.6,2025-12-11T01:00:00+00:00,PT60M
24,69,0,69,2.5,2025-12-11T02:00:00+00:00,PT60M
25,190,0,190,2.5,2025-12-11T03:00:00+00:00,PT60M
25,271,0,271,2.6,2025-12-11T04:00:00+00:00,PT60M
26,398,23,415,2.7,2025-12-11T05:00:00+00:00,PT60M
27,326,0,326,2.9,2025-12-11T06:00:00+00:00,PT60M
27,251,0,251,3.4,2025-12-11T07:00:00+00:00,PT60M
26,274,0,274,3.5,2025-12-11T08:00:00+00:00,PT60M
26,267,0,267,2.9,2025-12-11T09:00:00+00:00,PT60M
26,193,0,193,3,2025-12-11T10:00:00+00:00,PT60M
25,133,0,133,3.2,2025-12-11T11:00:00+00:00,PT60M
24,44,0,44,3,2025-12-11T12:00:00+00:00,PT60M
24,2,0,2,2.8,2025-12-11T13:00:00+00:00,PT60M
24,0,0,0,2.6,2025-12-11T14:00:00+00:00,PT60M
24,0,0,0,2.5,2025-12-11T15:00:00+00:00,PT60M
24,0,0,0,2.5,2025-12-11T16:00:00+00:00,PT60M
23,0,0,0,2.6,2025-12-11T17:00:00+00:00,PT60M
23,0,0,0,2.6,2025-12-11T18:00:00+00:00,PT60M
23,0,0,0,2.6,2025-12-11T19:00:00+00:00,PT60M
23,0,0,0,2.5,2025-12-11T20:00:00+00:00,PT60M
23,0,0,0,2.4,2025-12-11T21:00:00+00:00,PT60M
23,0,0,0,2.1,2025-12-11T22:00:00+00:00,PT60M
23,0,0,0,1.8,2025-12-11T23:00:00+00:00,PT60M
23,0,0,0,1.8,2025-12-12T00:00:00+00:00,PT60M
23,1,0,1,1.7,2025-12-12T01:00:00+00:00,PT60M
24,72,0,72,1.7,2025-12-12T02:00:00+00:00,PT60M
25,205,57,227,1.8,2025-12-12T03:00:00+00:00,PT60M
26,324,29,340,1.7,2025-12-12T04:00:00+00:00,PT60M
28,364,75,421,1.8,2025-12-12T05:00:00+00:00,PT60M
29,393,77,454,1.8,2025-12-12T06:00:00+00:00,PT60M
29,243,0,243,1.8,2025-12-12T07:00:00+00:00,PT60M
28,307,0,307,2.2,2025-12-12T08:00:00+00:00,PT60M
27,283,143,390,2.9,2025-12-12T09:00:00+00:00,PT60M
27,151,0,151,2.7,2025-12-12T10:00:00+00:00,PT60M
26,194,54,219,2.4,2025-12-12T11:00:00+00:00,PT60M
26,55,0,55,2.5,2025-12-12T12:00:00+00:00,PT60M
26,1,0,1,2.5,2025-12-12T13:00:00+00:00,PT60M
25,0,0,0,2.5,2025-12-12T14:00:00+00:00,PT60M
25,0,0,0,2.6,2025-12-12T15:00:00+00:00,PT60M
24,0,0,0,2.8,2025-12-12T16:00:00+00:00,PT60M
24,0,0,0,2.8,2025-12-12T17:00:00+00:00,PT60M
24,0,0,0,2.7,2025-12-12T18:00:00+00:00,PT60M
24,0,0,0,2.7,2025-12-12T19:00:00+00:00,PT60M
23,0,0,0,2.8,2025-12-12T20:00:00+00:00,PT60M
23,0,0,0,2.8,2025-12-12T21:00:00+00:00,PT60M
23,0,0,0,2.7,2025-12-12T22:00:00+00:00,PT60M
23,0,0,0,2.7,2025-12-12T23:00:00+00:00,PT60M
23,0,0,0,2.6,2025-12-13T00:00:00+00:00,PT60M
23,1,0,1,2.6,2025-12-13T01:00:00+00:00,PT60M
24,65,0,65,2.9,2025-12-13T02:00:00+00:00,PT60M
25,162,216,257,3.3,2025-12-13T03:00:00+00:00,PT60M
26,291,210,408,3.3,2025-12-13T04:00:00+00:00,PT60M
27,336,58,376,3.1,2025-12-13T05:00:00+00:00,PT60M
28,246,0,246,3.2,2025-12-13T06:00:00+00:00,PT60M
28,240,0,240,3.8,2025-12-13T07:00:00+00:00,PT60M
27,119,0,119,3.9,2025-12-13T08:00:00+00:00,PT60M
27,164,0,164,3.9,2025-12-13T09:00:00+00:00,PT60M
26,275,53,307,4,2025-12-13T10:00:00+00:00,PT60M
26,169,2,170,4,2025-12-13T11:00:00+00:00,PT60M
26,60,0,60,3.9,2025-12-13T12:00:00+00:00,PT60M
26,3,0,3,3.6,2025-12-13T13:00:00+00:00,PT60M
25,0,0,0,3.4,2025-12-13T14:00:00+00:00,PT60M
25,0,0,0,3.2,2025-12-13T15:00:00+00:00,PT60M
24,0,0,0,3,2025-12-13T16:00:00+00:00,PT60M
24,0,0,0,2.8,2025-12-13T17:00:00+00:00,PT60M
24,0,0,0,2.6,2025-12-13T18:00:00+00:00,PT60M
23,0,0,0,2.5,2025-12-13T19:00:00+00:00,PT60M
23,0,0,0,2.5,2025-12-13T20:00:00+00:00,PT60M
23,0,0,0,2.6,2025-12-13T21:00:00+00:00,PT60M
23,0,0,0,2.8,2025-12-13T22:00:00+00:00,PT60M
23,0,0,0,2.8,2025-12-13T23:00:00+00:00,PT60M
23,0,0,0,2.6,2025-12-14T00:00:00+00:00,PT60M
23,1,0,1,2.5,2025-12-14T01:00:00+00:00,PT60M
24,72,21,78,3,2025-12-14T02:00:00+00:00,PT60M
25,158,323,285,4.1,2025-12-14T03:00:00+00:00,PT60M
25,285,241,417,4.8,2025-12-14T04:00:00+00:00,PT60M
26,358,262,548,4.8,2025-12-14T05:00:00+00:00,PT60M
28,438,194,594,4.7,2025-12-14T06:00:00+00:00,PT60M
28,415,299,669,4.6,2025-12-14T07:00:00+00:00,PT60M
28,384,338,661,4.6,2025-12-14T08:00:00+00:00,PT60M
28,206,656,688,4.4,2025-12-14T09:00:00+00:00,PT60M
28,200,530,515,4.1,2025-12-14T10:00:00+00:00,PT60M
27,150,405,319,3.9,2025-12-14T11:00:00+00:00,PT60M
27,75,192,117,3.8,2025-12-14T12:00:00+00:00,PT60M
27,4,6,5,3.6,2025-12-14T13:00:00+00:00,PT60M
26,0,0,0,3.5,2025-12-14T14:00:00+00:00,PT60M
24,0,0,0,3.2,2025-12-14T15:00:00+00:00,PT60M
23,0,0,0,2.9,2025-12-14T16:00:00+00:00,PT60M
23,0,0,0,2.6,2025-12-14T17:00:00+00:00,PT60M
22,0,0,0,2.5,2025-12-14T18:00:00+00:00,PT60M
22,0,0,0,2.4,2025-12-14T19:00:00+00:00,PT60M
22,0,0,0,2.3,2025-12-14T20:00:00+00:00,PT60M
21,0,0,0,2.3,2025-12-14T21:00:00+00:00,PT60M
21,0,0,0,2.2,2025-12-14T22:00:00+00:00,PT60M
21,0,0,0,2.3,2025-12-14T23:00:00+00:00,PT60M
22,0,0,0,2.5,2025-12-15T00:00:00+00:00,PT60M
22,2,0,2,2.5,2025-12-15T01:00:00+00:00,PT60M
23,77,29,81,2.7,2025-12-15T02:00:00+00:00,PT60M
25,178,109,215,3.1,2025-12-15T03:00:00+00:00,PT60M
26,306,110,373,4.2,2025-12-15T04:00:00+00:00,PT60M
27,260,0,260,4.9,2025-12-15T05:00:00+00:00,PT60M
28,442,27,464,4.6,2025-12-15T06:00:00+00:00,PT60M
28,467,24,488,4.5,2025-12-15T07:00:00+00:00,PT60M
28,379,0,379,4.7,2025-12-15T08:00:00+00:00,PT60M
29,320,0,320,4.8,2025-12-15T09:00:00+00:00,PT60M
28,289,82,335,4.8,2025-12-15T10:00:00+00:00,PT60M
27,198,12,202,4.6,2025-12-15T11:00:00+00:00,PT60M
27,82,41,93,3.9,2025-12-15T12:00:00+00:00,PT60M
27,4,0,4,3.4,2025-12-15T13:00:00+00:00,PT60M
26,0,0,0,3.3,2025-12-15T14:00:00+00:00,PT60M
26,0,0,0,3.3,2025-12-15T15:00:00+00:00,PT60M
25,0,0,0,3,2025-12-15T16:00:00+00:00,PT60M
25,0,0,0,2.6,2025-12-15T17:00:00+00:00,PT60M
24,0,0,0,2.5,2025-12-15T18:00:00+00:00,PT60M
24,0,0,0,2.4,2025-12-15T19:00:00+00:00,PT60M
24,0,0,0,2.4,2025-12-15T20:00:00+00:00,PT60M
24,0,0,0,2.3,2025-12-15T21:00:00+00:00,PT60M
24,0,0,0,2.1,2025-12-15T22:00:00+00:00,PT60M
24,0,0,0,2,2025-12-15T23:00:00+00:00,PT60M
24,0,0,0,2.2,2025-12-16T00:00:00+00:00,PT60M
